Function,Gene,NH4_1,NH4_2,NH4_3,NH4_average,alanine_1,alanine_2,alanine_3,alanine_average,log2FoldChange,pvalue,qvalue
hypothetical protein,HVO_C0005,13.556814,12.676246,13.16568,13.13291333,8.925737,8.965341,6.892941,8.261339667,-4.871573667,0.002622814,0.100602628
hypothetical protein,HVO_C0029,13.252458,12.349384,12.969374,12.857072,8.654674,8.954683,6.3523207,7.9872259,-4.8698461,0.004880454,0.117465653
hypothetical protein (TBD),HVO_C0046,14.6265,13.898097,14.433813,14.31947,10.346134,10.512051,7.528517,9.462234,-4.857236,0.008072412,0.14688841
hypothetical protein,HVO_C0063,13.915547,13.115657,13.480634,13.503946,9.35484,9.442281,7.175856,8.657659,-4.846287,0.003359538,0.106847751
unknown protein,HVO_C0006,12.455388,11.570087,11.948465,11.99131333,7.2469254,7.6029744,6.7466307,7.1988435,-4.792469833,0.000178142,0.028399767
hypothetical protein,HVO_C0022,14.77592,14.067138,14.452838,14.43196533,10.340086,10.551345,8.174876,9.688769,-4.743196333,0.00381129,0.10691298
ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides),HVO_C0072,14.505784,13.712589,13.888135,14.03550267,10.62503,10.071311,7.624221,9.440187333,-4.595315333,0.008504944,0.1509788
ISH4-type transposase homolog,HVO_A0062,13.844525,13.071612,13.575743,13.49729333,9.7769785,10.293362,6.713507,8.927949167,-4.569344167,0.016018128,0.199504106
ISH8-type transposase,HVO_C0070,13.9606,13.193594,13.677713,13.61063567,9.769322,9.780995,7.663896,9.071404333,-4.539231333,0.003553842,0.10691298
hypothetical protein,HVO_C0086,12.505414,11.507238,11.956379,11.989677,7.8257337,7.4200687,7.1567287,7.467510367,-4.522166633,0.000202567,0.028399767
ISH8-type transposase,HVO_A0116,13.682824,13.052703,13.543634,13.426387,9.576573,9.7257805,7.4282436,8.910199033,-4.516187967,0.004148275,0.110926301
hypothetical protein,HVO_C0026,14.253612,13.679194,14.151838,14.02821467,10.355086,10.329547,7.9111757,9.531936233,-4.496278433,0.005615522,0.125339231
hypothetical protein,HVO_C0084,14.351805,13.789918,14.220293,14.120672,10.099611,10.218881,8.64759,9.655360667,-4.465311333,0.001108836,0.077210153
hypothetical protein,HVO_C0045,15.060034,14.439045,14.805531,14.76820333,11.308694,11.321949,8.285124,10.30525567,-4.462947667,0.012159597,0.176318426
ArcR family transcription regulator,HVO_C0076,14.432093,13.660488,14.159841,14.08414067,10.438675,10.485149,7.9987407,9.6408549,-4.443285767,0.006440357,0.132978356
hypothetical protein,HVO_C0033,12.904416,12.191612,12.599901,12.56530967,8.284887,8.467606,7.90133,8.217941,-4.347368667,8.14E-05,0.020276751
"transfer complex protein, putative",HVO_C0035,13.441826,12.697483,13.058827,13.06604533,9.4804945,8.857771,7.952859,8.763708167,-4.302337167,0.000948439,0.077133253
hypothetical protein,HVO_C0032,15.147667,14.620568,15.083026,14.95042033,11.1241865,11.546886,9.3559675,10.67568,-4.274740333,0.003474841,0.106847751
hypothetical protein,HVO_C0036,12.847354,12.117147,12.416665,12.46038867,9.15539,8.2753105,7.4960575,8.308919333,-4.151469333,0.001374342,0.077210153
sarcosine oxidase,HVO_C0077,13.7577095,13.004175,13.412004,13.39129617,10.057518,9.76583,7.985962,9.26977,-4.121526167,0.003802888,0.10691298
unknown protein,HVO_C0007,11.313831,10.215477,10.391764,10.64035733,6.287526,6.9363303,6.5687795,6.597545267,-4.042812067,0.000483699,0.05072475
"membrane protein, putative",HVO_C0015,15.460657,14.90819,15.2217865,15.19687783,11.667066,12.303935,9.601916,11.19097233,-4.0059055,0.008521655,0.1509788
putative sarcosine oxidase,HVO_C0067,14.655823,13.828493,14.324478,14.269598,11.307559,10.781431,8.729554,10.272848,-3.99675,0.008279206,0.149966527
hypothetical protein,HVO_C0010,14.036327,13.284721,13.735728,13.685592,9.899699,9.801507,9.603037,9.768081,-3.917511,7.61E-05,0.020276751
hypothetical protein,HVO_C0041,14.490489,13.820455,14.166955,14.15929967,11.728449,10.736989,8.636017,10.36715167,-3.792148,0.015235439,0.191524367
hypothetical protein (TBD),HVO_1735,13.350574,12.389745,12.549,12.76310633,9.814104,8.814682,8.622064,9.083616667,-3.679489667,0.001486987,0.077210153
Orc1-type DNA replication protein,HVO_C0001,15.088408,14.359868,14.793945,14.747407,11.596841,11.468587,10.395843,11.153757,-3.59365,0.001177583,0.077210153
hypothetical protein,HVO_C0087,12.104973,11.114792,11.417691,11.54581867,8.039213,7.638271,8.633423,8.103635667,-3.442183,0.001117414,0.077210153
site-specific DNA-methyltransferase (cytosine-specific),HVO_C0040,14.948,14.773523,15.02325,14.91492433,12.696466,12.433917,9.661437,11.59727333,-3.317651,0.027095049,0.249620556
ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides),HVO_C0074,13.697167,13.147414,13.532992,13.459191,11.154725,10.009372,9.402288,10.188795,-3.270396,0.003726225,0.10691298
ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides),HVO_C0073,15.229989,14.822011,15.147317,15.066439,12.881843,11.930231,10.583876,11.79865,-3.267789,0.008531239,0.1509788
ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptides/oligopeptides),HVO_C0075,13.804181,13.120239,13.450996,13.458472,10.930647,10.04798,9.778877,10.25250133,-3.205970667,0.00131455,0.077210153
Tat (twin-arginine translocation) pathway signal sequence domain protein,HVO_C0003,14.46587,13.957515,14.466434,14.29660633,11.608196,11.76094,9.993205,11.12078033,-3.175826,0.005771305,0.126366211
hypothetical protein,HVO_C0051,12.843439,11.944644,12.392831,12.393638,9.334582,9.244403,9.132914,9.237299667,-3.156338333,0.000288562,0.033821164
Orc1-type DNA replication protein,HVO_C0057,13.916804,13.189296,13.5297985,13.5452995,10.80172,11.86408,8.799635,10.48847833,-3.056821167,0.029567897,0.255737444
probable transposase (homolog to transposon ISSod10 OrfB),HVO_A0404,11.253804,10.443139,11.332051,11.00966467,8.74625,8.89884,6.2422876,7.9624592,-3.047205467,0.028302524,0.254594939
glucose-fructose oxidoreductase,HVO_C0069,14.184497,13.736238,14.159789,14.02684133,11.426141,10.713383,11.093818,11.07778067,-2.949060667,0.000305461,0.034778917
probable transposase (homolog to transposon ISSod10 OrfB),HVO_A0099,11.438651,10.498178,11.335486,11.09077167,8.80504,9.070874,6.6365137,8.170809233,-2.919962433,0.02416575,0.237853403
ISH8-type transposase,HVO_1106,13.778777,13.16817,13.707704,13.55155033,10.859346,11.380628,9.684729,10.64156767,-2.909982667,0.005632347,0.125339231
Phospholipase D Active site motif domain protein,HVO_C0044,14.973041,14.426289,14.502922,14.634084,13.495424,11.9735985,9.828159,11.76572717,-2.868356833,0.056252943,0.354135826
chromosome partitioning protein ParA,HVO_C0017,13.396605,12.707615,13.156771,13.086997,10.876423,9.779295,10.408461,10.35472633,-2.732270667,0.001915812,0.083970344
unknown protein,HVO_C0018,13.823091,13.129383,13.398844,13.45043933,11.167611,10.252341,10.793276,10.73774267,-2.712696667,0.001245464,0.077210153
"Ribbon-helix-helix protein, copG family domain protein",HVO_C0060,12.591628,11.711749,11.995635,12.09967067,9.12118,9.65365,9.689557,9.488129,-2.611541667,0.001195182,0.077210153
transfer complex protein N-terminal part homolog,HVO_2282,10.858607,10.192236,10.287362,10.44606833,9.495287,7.758513,6.396667,7.883489,-2.562579333,0.049620818,0.331221038
hypothetical protein,HVO_A0422,12.904701,12.502824,13.417411,12.94164533,11.114046,11.798297,8.443113,10.45181867,-2.489826667,0.078088541,0.411617508
conserved hypothetical protein,HVO_2283,11.059787,10.116373,10.539726,10.571962,9.551481,8.221446,6.604943,8.125956667,-2.446005333,0.052208472,0.339397652
transposase (ISH51),HVO_C0037,12.15139,11.319897,11.952826,11.80803767,9.08731,9.640999,9.403763,9.377357333,-2.430680333,0.001223725,0.077210153
conserved hypothetical protein,HVO_2277,11.734363,9.628814,10.956005,10.77306067,9.186243,9.409914,6.5452843,8.380480433,-2.392580233,0.096604341,0.451844298
conserved hypothetical protein,HVO_2284,10.201868,8.448374,8.489044,9.046428667,7.453992,6.612226,6.0314064,6.699208133,-2.347220533,0.02979784,0.257022494
conserved hypothetical protein,HVO_2272,11.090418,10.248184,10.412643,10.58374833,9.568207,8.270627,7.1199045,8.3195795,-2.264168833,0.039624801,0.303080292
hypothetical protein,HVO_2288,11.385164,10.236938,10.556151,10.72608433,10.278381,9.033862,6.223466,8.511903,-2.214181333,0.150491226,0.545162659
transposase (ISH5),HVO_C0053,12.811403,11.845876,12.354807,12.337362,10.468598,10.945002,8.959366,10.124322,-2.21304,0.028523289,0.255056208
conserved hypothetical protein,HVO_1734,13.488854,13.096776,12.948636,13.17808867,11.431492,11.432492,10.253069,11.03901767,-2.139071,0.007301427,0.144757147
conserved hypothetical protein,HVO_2276,11.876207,10.675531,11.201515,11.25108433,10.234306,9.718178,7.410417,9.120967,-2.130117333,0.084981796,0.42651443
conserved hypothetical protein,HVO_1733,12.749471,12.344121,12.12234,12.40531067,10.634882,10.852259,9.473325,10.32015533,-2.085155333,0.011015838,0.17014773
conserved hypothetical protein,HVO_2935,10.741581,10.19388,9.812569,10.24934333,8.196337,8.614845,7.687456,8.166212667,-2.083130667,0.005404498,0.122368889
hypothetical protein,HVO_2274,11.67985,10.0785265,10.598034,10.78547017,9.386438,8.855901,8.059177,8.767172,-2.018298167,0.029584683,0.255737444
transposase (ISH5),HVO_0276,12.507562,11.5145,12.053355,12.025139,10.2326355,10.818915,8.99041,10.01398683,-2.011152167,0.030124707,0.258721891
IS1341-type transposase,HVO_2075,10.951015,11.676213,11.498463,11.37523033,10.639819,8.758319,8.744997,9.381045,-1.994185333,0.040196334,0.303773188
conserved hypothetical protein,HVO_1738,12.257574,10.47271,10.836372,11.18888533,9.445981,9.078007,9.111397,9.211795,-1.977090333,0.023820704,0.237853403
hypothetical protein,HVO_A0614,10.5789585,9.219645,10.090637,9.963080167,8.806133,9.073967,6.1070766,7.995725533,-1.967354633,0.128052711,0.506742853
Orc1-type DNA replication protein,HVO_2292,12.112717,10.2333555,11.37398,11.2400175,10.26136,10.57444,7.0164194,9.284073133,-1.955944367,0.196092548,0.60180315
hypothetical protein,HVO_2291,10.438639,9.112999,9.4629755,9.671537833,8.572924,8.303029,6.2723656,7.7161062,-1.955431633,0.077364722,0.409971299
probable ATP-binding protein,HVO_2289,11.1831455,9.296429,10.183089,10.22088783,8.8837185,8.881009,7.0759177,8.280215067,-1.940672767,0.075203783,0.407183526
transposase (ISH51),HVO_C0071,12.478271,11.792701,12.255825,12.175599,10.166517,10.392131,10.232124,10.26359067,-1.912008333,0.0008486,0.072614338
hypothetical protein,HVO_C0043,15.027916,14.812644,14.968743,14.93643433,14.230036,12.96796,11.907243,13.03507967,-1.901354667,0.047867985,0.327750488
transposase (ISH51),HVO_0528,12.821257,12.204733,12.792453,12.60614767,10.508538,10.95261,10.665791,10.70897967,-1.897168,0.00136964,0.077210153
XerC/D-like integrase,HVO_2273,12.186941,11.439711,11.729899,11.785517,11.084532,9.846915,8.73881,9.890085667,-1.895431333,0.056167039,0.354135826
ABC-type transport system periplasmic substrate-binding protein (probable substrate phosphate),HVO_2375,10.489323,12.724754,11.841652,11.685243,9.823862,8.860547,10.727141,9.80385,-1.881393,0.089799101,0.436564229
TATA-binding transcription initiation factor,HVO_2268,10.922884,8.741131,9.418533,9.694182667,8.133803,8.682172,6.6466656,7.8208802,-1.873302467,0.102056319,0.461628185
transposase (ISH51),HVO_1845,13.668117,13.007211,13.492626,13.389318,11.327395,11.685436,11.535877,11.516236,-1.873082,0.001104455,0.077210153
hypothetical protein,HVO_C0028,14.249108,13.684422,14.138269,14.023933,12.277053,12.718261,11.499898,12.16507067,-1.858862333,0.009334768,0.156298531
transposase (ISH5),HVO_0924,12.723189,11.819295,12.437615,12.32669967,10.633082,11.245997,9.53283,10.47063633,-1.856063333,0.03081313,0.261256006
xanthine/uracil permease family protein,HVO_0335,8.750256,10.58988,9.906161,9.748765667,8.626434,7.66843,7.3913093,7.8953911,-1.853374567,0.047237239,0.325764303
transposase (ISH51),HVO_2820,13.425193,12.714199,13.186095,13.10849567,11.063799,11.454286,11.25365,11.257245,-1.851250667,0.001458093,0.077210153
conserved hypothetical protein,HVO_2287,10.639021,8.920447,9.277542,9.612336667,8.46776,8.063961,6.774994,7.768905,-1.843431667,0.065287403,0.377605662
transposase (ISH51),HVO_2466,13.149919,12.459594,12.929084,12.846199,10.740006,11.384923,10.927485,11.01747133,-1.828727667,0.002819945,0.101579695
conserved hypothetical protein,HVO_2278,11.620329,10.7336035,10.8809185,11.07828367,11.146515,8.52653,8.086762,9.253269,-1.825014667,0.140157545,0.530087388
transposase (ISH5),HVO_A0007,12.6850605,11.868854,12.4280405,12.32731833,10.67306,11.225237,9.63498,10.51109233,-1.816226,0.025789976,0.247050611
transposase (ISH51),HVO_C0004,13.308004,12.629342,13.0367565,12.9913675,10.954499,11.426001,11.147125,11.175875,-1.8154925,0.001638572,0.078149218
hypothetical protein,HVO_2262,10.440067,8.1322975,9.141387,9.237917167,7.627167,8.395019,6.386325,7.469503667,-1.7684135,0.117264473,0.487277294
Orc1-type DNA replication protein,HVO_2042,10.134005,9.504681,9.156136,9.598274,8.809695,8.313374,6.411549,7.844872667,-1.753401333,0.089211242,0.436564229
glycosyltransferase AglE,HVO_1523A,11.562633,11.818883,11.524309,11.635275,10.891453,10.205517,8.563451,9.886807,-1.748468,0.066116519,0.379099753
conserved hypothetical protein,HVO_2257,11.081691,9.430254,10.189236,10.233727,9.001492,9.094637,7.385334,8.493821,-1.739906,0.076216674,0.407682478
transfer complex protein homolog,HVO_2281,11.739903,11.123138,11.604882,11.48930767,11.069627,9.306567,8.898171,9.758121667,-1.731186,0.06666034,0.381121169
"radical SAM protein, putative (TBD)",HVO_1717,7.438664,9.128161,7.700812,8.089212333,7.3109865,5.8889866,6.056835,6.418936033,-1.6702763,0.072861989,0.399387931
transposase (ISH51),HVO_0263,12.842497,12.271202,12.762311,12.62533667,10.750307,11.160268,10.982307,10.964294,-1.661042667,0.00149593,0.077210153
ABC-type transport system permease protein (probable substrate sugar),HVO_B0035,10.043611,7.7836633,9.68965,9.1723081,8.044258,8.522393,5.967695,7.511448667,-1.660859433,0.189639622,0.594582135
conserved hypothetical protein,HVO_B0156,10.152527,7.6829677,8.486326,8.773940233,7.4721284,7.706958,6.1614995,7.113528633,-1.6604116,0.12956374,0.507680928
hypothetical protein,HVO_2253,10.723891,9.227525,9.963269,9.971561667,8.875155,9.34939,6.7188,8.314448333,-1.657113333,0.145213673,0.534829577
transposase (ISH51),HVO_A0262,12.825998,12.107386,12.750689,12.56135767,10.614811,11.21583,10.891599,10.90741333,-1.653944333,0.004477872,0.113481072
transposase (ISH51),HVO_B0152,13.769976,13.214935,13.6279335,13.53761483,11.564185,12.123679,11.982945,11.89026967,-1.647345167,0.002234032,0.089925429
transposase (ISH51),HVO_0926,12.509408,11.830488,12.336752,12.22554933,10.267879,10.7902565,10.680181,10.57943883,-1.6461105,0.003114707,0.105111273
phosphoribosylamine--glycine ligase,HVO_1657,9.888556,11.558334,11.122954,10.85661467,9.863306,8.712478,9.083408,9.219730667,-1.636884,0.053590377,0.343340277
"membrane protein, putative",HVO_A0120,11.462519,10.301923,11.064446,10.94296267,10.693972,10.576149,6.657307,9.309142667,-1.63382,0.298751059,0.650109412
"carbamoyl-phosphate synthase, large subunit",HVO_2361,9.543511,9.29848,8.5593815,9.133790833,7.8143964,6.8103976,7.876361,7.500385,-1.633405833,0.02292928,0.234084176
transposase (ISH51),HVO_B0234,12.525941,11.955767,12.3865795,12.28942917,10.420333,10.929247,10.6188755,10.65615183,-1.633277333,0.001966592,0.08518336
DNA repair helicase Rad25,HVO_1736,12.836927,12.00611,12.137772,12.32693633,11.067361,10.548462,10.46682,10.69421433,-1.632722,0.00690309,0.139638648
aminotransferase class V,HVO_B0146,10.399693,8.864595,9.307895,9.524061,8.866,8.757603,6.0519485,7.8918505,-1.6322105,0.187297305,0.591684909
XerC/D-like integrase,HVO_2290,11.316019,10.380346,10.61927,10.77187833,10.058399,9.146864,8.2250595,9.143440833,-1.6284375,0.053079609,0.342269
hypothetical protein,HVO_A0076,11.520144,10.404057,11.104505,11.00956867,10.730575,10.42812,7.022061,9.393585333,-1.615983333,0.260097723,0.636745156
conserved hypothetical protein,HVO_A0074,10.754153,10.243121,10.335496,10.44425667,10.478021,9.524079,6.511553,8.837884333,-1.606372333,0.253564883,0.635520671
conserved hypothetical protein,HVO_A0430A,10.802564,9.54337,10.235361,10.193765,9.254857,9.961406,6.554599,8.590287333,-1.603477667,0.218688101,0.620264827
transposase (ISH5),HVO_0275,12.64082,11.74781,12.347918,12.245516,10.761949,11.366883,9.815319,10.64805033,-1.597465667,0.037740902,0.29431995
ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides),HVO_A0426,12.109127,12.489914,12.363435,12.32082533,13.027459,10.675438,8.49156,10.73148567,-1.589339667,0.293202173,0.649477854
hypothetical protein,HVO_2266,11.16125,12.362141,11.897107,11.80683267,11.927154,9.486306,9.240573,10.218011,-1.588821667,0.161355277,0.552831207
transposase (ISH51),HVO_1782,13.877693,13.314098,13.871579,13.68779,11.783064,12.357542,12.161979,12.10086167,-1.586928333,0.00323508,0.106019985
hypothetical protein,HVO_2264,11.0576935,9.259305,9.888793,10.06859717,8.903836,9.163892,7.3879647,8.4852309,-1.583366267,0.10704618,0.470837778
anthranilate synthase component I,HVO_2454,7.2712374,9.209505,8.973141,8.4846278,7.6341324,6.3507166,6.720716,6.901855,-1.5827728,0.092785147,0.446017866
hypothetical protein,HVO_2933,9.706928,9.006123,8.706605,9.139885333,7.036909,7.6216373,8.018903,7.559149767,-1.580735567,0.018413116,0.214359691
conserved hypothetical protein,HVO_C0012,14.416391,13.625549,14.026175,14.022705,11.861698,12.813261,12.651894,12.44228433,-1.580420667,0.013203221,0.185995876
transposase (ISH51),HVO_2252,13.026244,12.495902,12.902682,12.808276,11.048411,11.492704,11.1605,11.23387167,-1.574404333,0.001647311,0.078149218
transposase (ISH51),HVO_A0423,11.61033,11.0610895,11.659867,11.44376217,9.699199,10.1519785,9.784266,9.878481167,-1.565281,0.002719002,0.101579695
transposase (ISH51),HVO_A0125,11.942049,11.322973,11.960988,11.74200333,9.934561,10.438324,10.177084,10.183323,-1.558680333,0.003632759,0.10691298
hypothetical protein,HVO_A0010,11.244932,10.808429,10.540847,10.864736,10.715084,9.475939,7.8103147,9.333779233,-1.530956767,0.151891209,0.546481085
phage PhiH1 repressor homolog,HVO_1423,10.1036625,9.581624,10.17884,9.954708833,8.866345,9.669039,6.7461314,8.4271718,-1.527537033,0.161922178,0.553396263
hypothetical protein,HVO_0277,10.334555,8.53847,9.659487,9.510837333,8.755828,9.205267,6.0087557,7.989950233,-1.5208871,0.248861907,0.635520671
transposase (ISH51),HVO_2331,12.979505,12.381044,12.87851,12.746353,10.90571,11.549168,11.234603,11.229827,-1.516526,0.004436317,0.113325149
tryptophan synthase beta subunit,HVO_0788,8.96537,10.642049,10.982463,10.19662733,9.113087,8.521928,8.415346,8.683453667,-1.513173667,0.083645182,0.422466477
hypothetical protein,HVO_A0504,9.844819,9.17705,10.132701,9.71819,9.192019,9.649179,5.8226466,8.221281533,-1.496908467,0.293632012,0.64982107
hypothetical protein,HVO_A0073,10.292062,8.182419,9.097514,9.190665,8.330333,8.817822,5.9549084,7.701021133,-1.489643867,0.237995904,0.632037423
hypothetical protein,HVO_B0068,8.4303255,6.3933396,7.579862,7.467842367,6.364307,6.0672793,5.504424,5.9786701,-1.489172267,0.081256138,0.41835363
transposase (ISH51),HVO_A0151,13.930437,13.304955,13.838647,13.69134633,11.93167,12.350663,12.336681,12.206338,-1.485008333,0.003390541,0.106847751
hypothetical protein,HVO_A0075,8.600168,7.699921,6.592709,7.630932667,6.869385,6.020364,5.5521283,6.147292433,-1.483640233,0.100322804,0.456898713
conserved hypothetical protein,HVO_A0070,11.183227,9.768965,10.83991,10.59736733,10.080054,10.415384,6.848432,9.114623333,-1.482744,0.289129478,0.6479412
ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides),HVO_A0425,10.616187,10.765245,10.419506,10.60031267,11.182138,9.043244,7.187959,9.137780333,-1.462532333,0.275315855,0.642182692
transposase (ISH51),HVO_1519,13.236143,12.629159,13.101906,12.98906933,11.269348,11.707309,11.606287,11.527648,-1.461421333,0.002982405,0.103346817
conserved hypothetical protein,HVO_2254,9.568882,7.5715747,8.461433,8.533963233,7.3259325,7.6812906,6.2139835,7.073735533,-1.4602277,0.115121216,0.483921989
transposase (ISH5),HVO_2051,12.488625,11.355417,11.920799,11.92161367,10.542701,11.119934,9.741473,10.468036,-1.453577667,0.048101979,0.328230114
"membrane protein, putative",HVO_B0178,9.634496,8.145263,8.411375,8.730378,8.0187845,7.639511,6.176147,7.2781475,-1.4522305,0.115765345,0.48490366
Protein of unknown function (DUF502) superfamily,HVO_A0038,10.487666,9.613298,9.9796505,10.0268715,9.612664,9.941372,6.17483,8.576288667,-1.450582833,0.303912887,0.65032166
transposase (ISH51),HVO_A0420,13.491935,13.103609,13.415823,13.33712233,11.6771965,12.151611,11.873469,11.90075883,-1.4363635,0.001388652,0.077210153
Orc1-type DNA replication protein,HVO_2293,11.966425,10.140672,11.392902,11.16666633,10.555881,10.778354,7.8632956,9.7325102,-1.434156133,0.255218516,0.635520671
phosphoribosylformylglycinamidine synthase II,HVO_1048,8.303497,10.14415,9.022886,9.156844333,8.117683,7.0638113,7.987334,7.722942767,-1.433901567,0.085144719,0.426794598
conserved hypothetical protein,HVO_A0079,9.868109,7.8648815,8.793816,8.842268833,8.098548,8.137638,6.0084457,7.414877233,-1.4273916,0.192156438,0.598047078
transposase (ISH51),HVO_C0039,13.015074,12.524503,12.865383,12.80165333,11.108535,11.656123,11.372652,11.37910333,-1.42255,0.002688393,0.101579695
conserved protein,HVO_A0254,10.2304735,9.188851,9.593251,9.6708585,9.1951275,8.899865,6.6788144,8.257935633,-1.412922867,0.171816224,0.568677452
hypothetical protein,HVO_2633,9.237439,8.406447,9.375408,9.006431333,8.258873,8.574799,5.9526153,7.5954291,-1.411002233,0.18415458,0.585679171
anthranilate phosphoribosyltransferase,HVO_2456,7.283788,8.940008,9.108465,8.444087,7.200646,6.60873,7.304308,7.037894667,-1.406192333,0.086326489,0.430013823
hypothetical protein,HVO_2990,9.995498,9.476354,10.386052,9.952634667,9.3645,9.661819,6.6589146,8.561744533,-1.390890133,0.233107837,0.629786258
hypothetical protein,HVO_2260,9.569732,7.488262,7.4011583,8.153050767,6.759969,7.2648582,6.2845902,6.7698058,-1.383244967,0.144141369,0.534127035
molybdopterin-guanine dinucleotide biosynthesis protein A,HVO_B0245,10.226631,8.385171,9.285916,9.299239333,8.53121,8.387794,6.839835,7.919613,-1.379626333,0.143192541,0.534127035
GTP-binding protein,HVO_2932,12.695009,11.596309,11.88208,12.05779933,9.696612,11.221324,11.133149,10.683695,-1.374104333,0.081649443,0.41925683
transcription regulator,HVO_B0361,9.684474,9.243889,8.9037895,9.277384167,7.4399667,9.254461,7.0172987,7.9039088,-1.373475367,0.130074032,0.508680096
